sample	file	mate
MB_1	TS_SN_001/HNJJFDRXX/L001/TS_SN_001_S1_L001_R1_001.fastq.gz	1
MB_1	TS_SN_001/HNJJFDRXX/L001/TS_SN_001_S1_L001_R2_001.fastq.gz	2
MB_1	TS_SN_001/HNJJFDRXX/L002/TS_SN_001_S1_L002_R1_001.fastq.gz	1
MB_1	TS_SN_001/HNJJFDRXX/L002/TS_SN_001_S1_L002_R2_001.fastq.gz	2
MT_1	TS_SN_002/HNJJFDRXX/L001/TS_SN_002_S2_L001_R1_001.fastq.gz	1
MT_1	TS_SN_002/HNJJFDRXX/L001/TS_SN_002_S2_L001_R2_001.fastq.gz	2
MT_1	TS_SN_002/HNJJFDRXX/L002/TS_SN_002_S2_L002_R1_001.fastq.gz	1
MT_1	TS_SN_002/HNJJFDRXX/L002/TS_SN_002_S2_L002_R2_001.fastq.gz	2
MT_A24_1	TS_SN_003/HNJJFDRXX/L001/TS_SN_003_S3_L001_R1_001.fastq.gz	1
MT_A24_1	TS_SN_003/HNJJFDRXX/L001/TS_SN_003_S3_L001_R2_001.fastq.gz	2
MT_A24_1	TS_SN_003/HNJJFDRXX/L002/TS_SN_003_S3_L002_R1_001.fastq.gz	1
MT_A24_1	TS_SN_003/HNJJFDRXX/L002/TS_SN_003_S3_L002_R2_001.fastq.gz	2
MT_Ctrl24_1	TS_SN_004/HNJJFDRXX/L001/TS_SN_004_S4_L001_R1_001.fastq.gz	1
MT_Ctrl24_1	TS_SN_004/HNJJFDRXX/L001/TS_SN_004_S4_L001_R2_001.fastq.gz	2
MT_Ctrl24_1	TS_SN_004/HNJJFDRXX/L002/TS_SN_004_S4_L002_R1_001.fastq.gz	1
MT_Ctrl24_1	TS_SN_004/HNJJFDRXX/L002/TS_SN_004_S4_L002_R2_001.fastq.gz	2
MT_A72_1	TS_SN_005/HNJJFDRXX/L001/TS_SN_005_S5_L001_R1_001.fastq.gz	1
MT_A72_1	TS_SN_005/HNJJFDRXX/L001/TS_SN_005_S5_L001_R2_001.fastq.gz	2
MT_A72_1	TS_SN_005/HNJJFDRXX/L002/TS_SN_005_S5_L002_R1_001.fastq.gz	1
MT_A72_1	TS_SN_005/HNJJFDRXX/L002/TS_SN_005_S5_L002_R2_001.fastq.gz	2
MT_Ctrl72_1	TS_SN_006/HNJJFDRXX/L001/TS_SN_006_S6_L001_R1_001.fastq.gz	1
MT_Ctrl72_1	TS_SN_006/HNJJFDRXX/L001/TS_SN_006_S6_L001_R2_001.fastq.gz	2
MT_Ctrl72_1	TS_SN_006/HNJJFDRXX/L002/TS_SN_006_S6_L002_R1_001.fastq.gz	1
MT_Ctrl72_1	TS_SN_006/HNJJFDRXX/L002/TS_SN_006_S6_L002_R2_001.fastq.gz	2
MB_2	TS_SN_007/HNJJFDRXX/L001/TS_SN_007_S7_L001_R1_001.fastq.gz	1
MB_2	TS_SN_007/HNJJFDRXX/L001/TS_SN_007_S7_L001_R2_001.fastq.gz	2
MB_2	TS_SN_007/HNJJFDRXX/L002/TS_SN_007_S7_L002_R1_001.fastq.gz	1
MB_2	TS_SN_007/HNJJFDRXX/L002/TS_SN_007_S7_L002_R2_001.fastq.gz	2
MT_2	TS_SN_008/HNJJFDRXX/L001/TS_SN_008_S8_L001_R1_001.fastq.gz	1
MT_2	TS_SN_008/HNJJFDRXX/L001/TS_SN_008_S8_L001_R2_001.fastq.gz	2
MT_2	TS_SN_008/HNJJFDRXX/L002/TS_SN_008_S8_L002_R1_001.fastq.gz	1
MT_2	TS_SN_008/HNJJFDRXX/L002/TS_SN_008_S8_L002_R2_001.fastq.gz	2
MT_A24_2	TS_SN_009/HNJJFDRXX/L001/TS_SN_009_S9_L001_R1_001.fastq.gz	1
MT_A24_2	TS_SN_009/HNJJFDRXX/L001/TS_SN_009_S9_L001_R2_001.fastq.gz	2
MT_A24_2	TS_SN_009/HNJJFDRXX/L002/TS_SN_009_S9_L002_R1_001.fastq.gz	1
MT_A24_2	TS_SN_009/HNJJFDRXX/L002/TS_SN_009_S9_L002_R2_001.fastq.gz	2
MT_Ctrl24_2	TS_SN_010/HNJJFDRXX/L001/TS_SN_010_S10_L001_R1_001.fastq.gz	1
MT_Ctrl24_2	TS_SN_010/HNJJFDRXX/L001/TS_SN_010_S10_L001_R2_001.fastq.gz	2
MT_Ctrl24_2	TS_SN_010/HNJJFDRXX/L002/TS_SN_010_S10_L002_R1_001.fastq.gz	1
MT_Ctrl24_2	TS_SN_010/HNJJFDRXX/L002/TS_SN_010_S10_L002_R2_001.fastq.gz	2
MT_A72_2	TS_SN_011/HNJJFDRXX/L001/TS_SN_011_S11_L001_R1_001.fastq.gz	1
